category,prodName,quantity,unitCost,margin,volume
Jeans, ,50,40.00,41,4000,three
Jacket,Leather Jacket,30,80.00,42,9000,
Jeans,Slim Fit Jeans,sixty,45.00,43,3800
T-Shirt,Graphic Print Tee,70,-20.00,44,1600
Blouse,Button-Down Blouse,80,30.00,-45,2000
Dress,Sundress,40,60.00,46,-5000
00,Mini Skirt,50,25.00,47,1500
Shirt,0,90,22.00,48,2200
Socks,Ankle Socks,150,5.00,49,
Scarf,Knitted Scarf,60,15.00,50
Hat,Baseball Cap,50,10.00,51,2500
Gloves,Leather Gloves,40,25.00,52,600
Coat,Trench Coat,35,70.00,53,10000
Shirt Jacket,Utility Shirt Jacket,60,50.00,54,6000
Leggings,Black Leggings,70,25.00,55,1000
Cardigan,Open-Front Cardigan,60,45.00,56,3000
Blazer,Formal Blazer,40,75.00,57,5000
Cargo Pants,Utility Cargo Pants,45,55.00,58,4500
Pajamas,Satin Pajama Set,50,30.00,59,4000
Swimsuit,Bikini Set,50,40.00,60,1000
Flip Flops,Beach Flip Flops,100,8.00,61,2000
Tracksuit,Full Zip Tracksuit,35,60.00,62,6000
Sweatpants,Jogger Sweatpants,50,35.00,63,3000
Sweatshirt,Graphic Hoodie,40,45.00,64,4500
Chinos,Lightweight Chinos,60,40.00,65,3500
Tank Top,Spaghetti Strap Top,80,15.00,66,800
Bikini,High Waist Bikini,30,25.00,67,800
Denim Jacket,Distressed Denim Jacket,40,60.00,68,5500
Camisole,Silk Camisole,60,18.00,69,700
Polo Shirt,Classic Polo,70,28.00,70,2000
Boots,Ankle Boots,25,80.00,71,10000
High Heels,Platform High Heels,35,90.00,72,9000
Sandals,Leather Sandals,60,25.00,73,4000
Flats,Pointed Flats,50,30.00,74,3500
Skort,Skirt with Shorts,50,20.00,75,2000
Trench Coat,Double-Breasted Trench Coat,15,110.00,76,11000
Romper,Floral Print Romper,40,50.00,77,3000
Overalls,Cotton Overalls,25,65.00,78,5000
Bomber Jacket,Zip-Up Bomber Jacket,30,70.00,79,6000
Hoodie,Pullover Hoodie,45,40.00,80,4500
Joggers,Casual Joggers,60,35.00,40,3000
Tracksuit Bottoms,Fleece Tracksuit Bottoms,50,45.00,41,4000
Chinos Shorts,Casual Chinos Shorts,80,22.00,42,2000
Slippers,Memory Foam Slippers,50,15.00,43,3000
Button-Down Shirt,Striped Button-Down Shirt,60,25.00,44,2000
Velvet Dress,Velvet Midi Dress,30,85.00,45,5000
Skater Skirt,A-Line Skater Skirt,35,40.00,46,2000
Culottes,Wide-Leg Culottes,40,50.00,47,3500
Midi Skirt,Flowy Midi Skirt,60,28.00,48,2500
Peacoat,Double-Breasted Peacoat,20,90.00,49,12000
Linen Shirt,Linen Button-Down Shirt,50,35.00,50,2000
Canvas Shoes,Canvas Sneakers,100,18.00,51,8000
Chiffon Dress,Chiffon Maxi Dress,25,55.00,52,4000
Leather Jacket,Black Leather Jacket,20,120.00,53,9500
Ankle Boots,Suede Ankle Boots,30,75.00,54,10000
Puffer Jacket,Winter Puffer Jacket,15,110.00,55,13000
Cropped Top,Off-Shoulder Cropped Top,50,20.00,56,800
Jumpsuit,One-Piece Jumpsuit,40,60.00,57,4000
Kimono,Floral Kimono,35,45.00,58,3000
